i,j
36031,50001
36031,36019
36031,50007
50025,33005
50025,50027
50025,33019
44003,44007
44003,44005
44003,44001
50021,50001
50021,50027
25027,44007
25027,33005
25027,25021
25027,25017
25027,33011
44007,44001
44007,25005
44007,25021
44005,44001
44005,25005
33005,33019
33005,33011
50001,50027
50001,50007
50001,50023
50001,50017
44001,25005
36019,50007
36019,50013
50027,33019
50027,50017
50027,33009
25005,25007
25005,25021
25005,25023
25005,25001
25007,25019
25007,25001
33019,33011
33019,33013
33019,33009
50007,50013
50007,50023
50007,50011
50007,50015
50013,50011
25021,25017
25021,25025
25021,25023
25017,33011
25017,25025
25017,25009
33011,33013
33011,25009
33011,33015
50023,50017
50023,50015
50023,50005
50017,33009
50017,50005
25025,25023
25025,25009
25023,25001
33013,33009
33013,33015
33013,33001
33013,33017
50011,50015
50011,50019
50015,50005
50015,50019
25009,33015
33009,33001
33009,50005
33009,33003
33009,50009
33009,33007
33015,33017
33015,23031
33001,33017
33001,33003
50005,50019
50005,50009
33017,33003
33017,23031
50019,50009
33003,23031
33003,33007
33003,23017
50009,33007
23031,23005
23031,23017
33007,23017
23005,23017
23005,23001
23005,23023
23017,23001
23017,23007
23001,23023
23001,23007
23001,23011
23023,23015
23023,23011
23007,23011
23007,23025
23015,23011
23015,23013
23015,23027
23011,23025
23011,23027
23013,23027
23013,23009
23025,23027
23025,23021
23025,23019
23025,23003
23027,23009
23027,23019
23009,23019
23009,23029
23021,23019
23021,23003
23019,23029
23019,23003
23029,23003
06111,06083
06079,06083
06029,06083
06059,06073
06025,06073
06065,06073
06037,06059
06065,06059
06071,06059
06037,06111
06029,06111
06029,06037
06071,06037
06053,06079
06029,06079
06031,06079
06065,06025
04027,06025
04012,06025
06087,06053
06069,06053
06031,06053
06019,06053
06071,06065
04012,06065
04019,04027
04012,04027
04013,04027
06031,06029
06071,06029
06107,06029
06027,06029
06069,06087
06081,06087
06085,06087
06085,06069
06047,06069
06019,06069
06107,06031
06019,06031
06075,06081
06085,06081
06001,06081
06001,06075
06041,06075
06013,06075
04019,04023
04003,04023
06001,06085
06047,06085
06099,06085
04013,04019
04003,04019
04021,04019
04009,04019
04012,06071
06027,06071
32003,06071
04015,06071
04013,04012
04025,04012
04015,04012
06013,06001
06099,06001
06077,06001
06019,06107
06027,06107
06013,06041
06097,06041
06095,06041
06019,06047
06099,06047
06039,06047
06043,06047
06039,06019
06027,06019
06051,06019
06097,06013
06077,06013
06095,06013
06067,06013
06077,06099
06043,06099
06009,06099
06109,06099
04021,04013
04025,04013
04007,04013
06095,06097
06055,06097
06033,06097
06045,06097
06043,06039
06109,06039
06051,06039
06067,06077
06009,06077
06005,06077
06055,06095
06113,06095
06067,06095
35023,04003
04009,04003
04011,04003
04009,04021
04007,04021
06113,06055
06033,06055
06109,06043
06051,06027
32003,06027
32009,06027
32023,06027
06067,06113
06033,06113
06011,06113
06101,06113
06005,06067
06101,06067
06017,06067
06061,06067
06045,06033
06011,06033
06021,06033
06109,06009
06005,06009
06003,06009
06021,06045
06023,06045
06103,06045
06105,06045
35029,35023
04011,35023
35017,35023
06051,06109
06003,06109
06017,06005
06003,06005
06101,06011
06021,06011
06007,06011
06115,06101
06061,06101
06007,06101
04007,04009
04011,04009
04017,04009
04001,04009
04007,04025
04015,04025
04005,04025
06003,06051
32009,06051
32005,06051
32021,06051
32019,06051
06003,06017
06061,06017
32005,06017
06007,06021
06103,06021
04005,04007
04017,04007
04015,32003
32023,32003
32017,32003
06061,06115
06057,06115
06007,06115
06091,06115
06063,06115
32005,06003
06057,06061
32005,06061
32031,06061
04005,04015
32017,04015
49053,04015
49025,04015
35017,35029
35051,35029
32021,32009
32023,32009
06091,06057
32031,06057
35017,04011
35003,04011
04001,04011
06103,06007
06063,06007
35051,35017
35003,35017
06105,06023
06015,06023
06093,06023
32019,32005
48043,48377
48229,48377
48243,48377
06105,06103
06063,06103
06089,06103
32019,32021
32023,32021
32001,32021
06089,06105
06093,06105
06063,06091
06035,06091
32031,06091
32029,32019
32001,32019
32031,32019
48229,48141
35035,48141
48243,48043
48443,48043
48371,48043
32017,32023
32001,32023
32015,32023
32011,32023
32033,32023
06089,06063
06035,06063
32031,32029
48243,48229
48109,48229
35035,48229
48109,48243
48389,48243
48371,48243
06035,06089
06093,06089
06049,06089
48505,48427
48215,48427
48247,48427
48047,48427
48247,48505
48479,48505
04017,04005
49025,04005
49037,04005
35003,35051
35035,35051
35053,35051
35027,35051
04001,35003
35053,35003
35006,35003
49053,32017
49021,32017
49001,32017
32033,32017
49027,32017
06093,06015
41015,06015
41033,06015
48061,48215
48047,48215
48489,48215
48261,48215
35035,48109
48389,48109
35015,48109
32031,32001
32027,32001
32015,32001
48479,48247
48047,48247
48131,48247
04001,04017
49037,04017
49021,49053
49025,49053
35015,35035
35027,35035
35005,35035
32031,06035
06049,06035
48489,48061
48323,48479
48127,48479
48131,48479
48283,48479
48311,48479
41033,06093
06049,06093
41029,06093
41035,06093
48371,48389
48301,48389
48475,48389
35015,48389
48127,48323
48271,48323
48507,48323
48463,48323
48131,48047
48261,48047
48249,48047
48273,48047
48261,48489
48371,48443
48465,48443
48105,48443
41033,41015
41011,41015
41019,41015
48507,48127
48283,48127
48163,48127
48475,48371
48103,48371
48105,48371
35006,04001
35031,04001
35045,04001
49037,04001
08083,04001
32027,32031
06049,32031
32013,32031
41037,32031
41025,32031
41029,41033
41019,41033
35006,35053
35027,35053
35061,35053
35057,35053
48283,48131
48249,48131
48311,48131
48297,48131
48273,48261
48271,48465
48105,48465
48137,48465
48435,48465
48507,48271
48463,48271
48137,48271
48463,48507
48163,48507
48325,48507
49025,49021
49001,49021
49017,49021
32015,32027
32013,32027
48311,48283
48163,48283
48013,48283
48475,48301
35015,48301
48495,48301
35025,48301
48495,48475
48103,48475
48135,48475
35005,35015
35025,35015
35031,35006
35061,35006
35001,35006
35043,35006
32011,32015
32013,32015
32007,32015
41035,06049
41037,06049
41035,41029
41019,41029
49017,49025
49037,49025
48273,48249
48355,48249
48297,48249
48409,48249
48355,48273
48135,48495
35025,48495
48003,48495
48105,48103
48461,48103
48135,48103
41019,41011
48163,48463
48137,48463
48385,48463
48325,48463
48019,48463
48297,48311
48013,48311
48325,48163
48013,48163
48461,48105
48435,48105
48383,48105
48413,48105
48235,48105
49017,49001
49031,49001
49027,49001
49041,49001
35005,35027
35057,35027
35011,35027
35019,35027
35045,35031
35043,35031
32033,32011
32007,32011
48385,48137
48435,48137
48265,48137
48267,48137
48135,48461
48383,48461
48329,48461
48173,48461
35001,35061
35057,35061
48409,48355
48007,48355
49027,32033
49023,32033
32007,32033
49045,32033
48003,48135
48329,48135
48409,48297
48013,48297
48025,48297
48255,48297
48019,48385
48265,48385
35025,35005
35011,35005
35041,35005
48013,48325
48019,48325
48029,48325
48025,48409
48007,48409
48391,48409
41019,41035
41037,41035
41039,41035
41017,41035
41039,41019
48029,48013
48255,48013
48493,48013
48413,48435
48267,48435
48327,48435
49031,49017
49055,49017
49037,49017
48329,48383
48235,48383
48173,48383
48431,48383
48451,48383
48003,35025
48165,35025
48501,35025
35041,35025
48079,35025
35057,35001
35043,35001
35049,35001
49055,49031
49041,49031
48329,48003
48165,48003
48317,48003
48255,48025
48391,48025
48175,48025
49041,49027
49023,49027
49039,49027
48173,48329
48317,48329
48265,48019
48029,48019
48259,48019
35049,35057
35019,35057
35047,35057
32007,32013
41025,32013
41045,32013
16073,32013
48235,48413
48267,48413
48327,48413
48451,48413
48095,48413
48451,48235
48267,48265
48259,48265
48171,48265
48391,48007
48057,48007
48493,48029
48259,48029
48091,48029
48187,48029
48493,48255
48175,48255
48123,48255
48177,48255
48317,48173
48431,48173
48227,48173
48327,48267
48171,48267
48319,48267
48175,48391
48057,48391
48469,48391
35043,35045
49037,35045
08083,35045
35039,35045
08067,35045
08007,35045
48317,48165
48501,48165
48115,48165
48445,48165
48187,48493
48177,48493
35049,35043
35028,35043
35039,35043
48227,48317
48115,48317
48033,48317
48123,48175
48469,48175
41017,41037
41025,41037
49041,49055
49037,49055
49015,49055
49019,49055
49039,49041
49015,49041
08083,49037
49015,49037
08033,49037
08113,49037
49019,49037
08085,49037
08077,49037
41041,41039
41003,41039
41017,41039
41043,41039
48171,48259
48091,48259
48031,48259
48451,48327
48319,48327
48095,48327
48307,48327
48451,48431
48227,48431
48081,48431
48335,48431
48445,48501
48079,48501
48219,48501
48081,48451
48095,48451
48399,48451
35019,35011
35041,35011
35037,35011
48319,48171
48031,48171
48299,48171
48115,48227
48335,48227
48033,48227
35028,35049
35039,35049
35047,35049
35033,35049
48187,48091
48031,48091
48209,48091
48445,48115
48033,48115
48305,48115
48177,48187
48209,48187
48055,48187
48469,48123
48177,48123
48285,48123
48469,48057
48239,48057
48321,48057
48307,48319
48299,48319
48411,48319
48239,48469
48285,48469
35039,35028
35047,35019
35037,35019
41003,41041
41053,41041
41057,41041
48335,48081
48399,48081
48353,48081
48079,48445
48305,48445
48219,48445
48303,48445
08067,08083
08033,08083
08111,08083
41043,41003
41053,41003
48079,35041
48017,35041
35009,35041
35037,35041
48307,48095
48399,48095
48083,48095
49039,49023
49045,49023
49049,49023
48219,48079
48017,48079
48279,48079
48055,48177
48285,48177
48149,48177
48209,48031
48299,48031
48453,48031
48053,48031
49045,32007
16073,32007
49003,32007
16083,32007
16031,32007
48033,48335
48353,48335
48415,48335
48151,48335
48305,48033
48415,48033
48169,48033
48055,48209
48453,48209
48411,48307
48083,48307
48049,48307
48411,48299
48053,48299
41043,41017
41025,41017
41013,41017
41031,41017
48453,48055
48021,48055
48149,48055
08007,35039
35033,35039
35055,35039
08021,35039
49015,49039
49049,49039
49007,49039
48219,48305
48169,48305
48303,48305
48107,48305
48285,48239
48321,48239
48481,48239
48089,48239
41053,41043
41047,41043
41031,41043
48017,48219
48303,48219
48279,48219
48189,48219
08033,08067
08007,08067
08111,08067
08053,08067
48353,48399
48441,48399
48083,48399
41013,41025
41045,41025
41023,41025
49019,49015
49007,49015
49047,49015
08113,08033
08111,08033
48149,48285
48089,48285
41047,41053
41071,41053
41057,41053
35009,48017
48279,48017
48369,48017
48415,48353
48441,48353
48151,48353
48253,48353
35033,35047
35037,35047
35021,35047
48169,48415
48151,48415
48263,48415
49049,49045
49035,49045
49003,49045
49011,49045
49057,49045
48053,48411
48049,48411
48281,48411
48333,48411
48369,35009
35037,35009
48117,35009
48053,48453
48021,48453
48491,48453
48481,48321
48039,48321
48303,48169
48263,48169
48107,48169
48125,48169
48279,48303
48107,48303
48189,48303
48153,48303
48491,48053
48281,48053
48027,48053
08111,08113
08085,08113
08091,08113
08053,08007
08079,08007
08021,08007
08105,08007
48149,48021
48491,48021
48287,48021
41071,41047
41031,41047
41005,41047
41065,41047
48369,48279
48189,48279
48069,48279
41057,41071
41005,41071
41067,41071
48083,48441
48151,48441
48059,48441
48253,48441
48089,48149
48287,48149
48015,48149
48477,48149
48089,48481
48015,48481
48039,48481
48157,48481
41067,41057
41007,41057
41009,41057
48049,48083
48059,48083
48263,48151
48253,48151
48433,48151
35055,35033
35021,35033
35007,35033
48069,48369
48117,48369
41031,41013
41069,41013
41023,41013
48015,48089
08053,08111
08091,08111
48117,35037
35021,35037
48359,35037
48205,35037
35059,35037
48333,48049
48059,48049
48093,48049
48133,48049
49007,49049
49035,49049
49051,49049
49013,49049
08085,49019
08077,49019
49047,49019
08045,49019
08021,35055
35007,35055
08023,35055
48287,48491
48027,48491
48331,48491
48107,48263
48433,48263
48125,48263
48269,48263
48333,48281
48027,48281
48099,48281
48193,48281
48093,48333
48193,48333
48189,48107
48125,48107
48153,48107
48345,48107
41065,41031
41069,41031
48069,48189
48153,48189
48437,48189
49013,49007
49047,49007
08091,08053
08079,08053
08109,08053
08051,08053
16073,41045
41023,41045
16027,41045
16075,41045
41001,41045
16087,41045
48477,48287
48331,48287
48051,48287
48253,48059
48133,48059
48417,48059
41067,41005
41051,41005
41065,41005
41027,41005
08091,08085
08077,08085
08029,08085
08051,08085
16083,16073
16027,16073
16001,16073
16039,16073
08051,08091
41007,41067
41051,41067
41009,41067
48433,48253
48417,48253
48207,48253
08105,08079
08109,08079
48117,48069
48437,48069
48381,48069
08105,08021
08023,08021
08003,08021
48157,48015
48477,48015
48473,48015
48157,48039
48167,48039
48201,48039
48125,48433
48207,48433
48269,48433
48275,48433
08003,08105
08109,08105
48359,48117
48381,48117
48375,48117
49051,49035
49011,49035
49029,49035
49043,49035
48153,48125
48269,48125
48345,48125
48101,48125
48473,48157
48201,48157
48099,48027
48331,48027
48145,48027
48309,48027
35007,35021
35059,35021
48437,48153
48345,48153
48045,48153
48193,48093
48133,48093
48143,48093
49013,49051
49043,49051
41009,41007
53069,41007
53049,41007
41009,41051
53011,41051
41027,41051
53059,41051
48193,48099
48035,48099
48309,48099
48051,48477
48473,48477
48041,48477
48185,48477
48143,48193
48035,48193
48051,48331
48145,48331
48395,48331
48381,48437
48045,48437
48011,48437
48417,48133
48429,48133
48143,48133
48363,48133
48041,48051
48395,48051
48207,48417
48429,48417
48447,48417
49011,49003
49057,49003
16031,49003
49005,49003
16071,49003
49029,49011
49057,49011
41069,41065
41027,41065
41055,41065
41021,41065
53039,41065
08023,35007
35059,35007
08071,35007
53011,41009
53069,41009
53015,41009
41023,41069
41021,41069
41049,41069
48201,48473
48185,48473
48339,48473
08029,08077
08051,08077
08045,08077
08097,08077
16031,16083
16053,16083
16047,16083
16039,16083
53015,53011
53059,53011
48269,48207
48447,48207
48275,48207
48023,48207
48345,48269
48275,48269
48101,48269
48155,48269
53059,41027
53039,41027
48045,48345
48101,48345
48191,48345
08003,08023
08055,08023
08071,08023
49043,49013
49047,49013
49009,49013
48201,48167
48071,48167
48381,48359
48205,48359
48375,48359
48341,48359
08109,08003
08055,08003
41049,41023
41001,41023
41059,41023
41061,41023
08051,08029
48011,48381
48375,48381
48065,48381
53049,53069
53015,53069
53041,53069
48011,48045
48191,48045
48129,48045
48447,48429
48363,48429
48503,48429
48035,48143
48425,48143
48363,48143
48221,48143
48339,48201
48071,48201
48291,48201
48185,48041
48395,48041
48313,48041
48289,48041
49057,49029
49043,49029
49033,49029
16001,16027
16075,16027
16045,16027
08051,08109
08055,08109
08027,08109
08015,08109
08043,08109
49005,49057
49033,49057
48309,48145
48395,48145
48293,48145
53041,53049
53027,53049
16039,16001
16045,16001
16015,16001
48309,48035
48425,48035
48217,48035
48251,48035
41021,41055
53039,41055
48275,48447
48503,48447
48023,48447
48009,48447
48217,48309
48293,48309
53059,53015
53041,53015
49033,49043
56041,49043
49009,49043
56037,49043
48155,48275
48023,48275
48339,48185
48313,48185
48471,48185
48313,48395
48293,48395
48289,48395
08015,08051
08097,08051
16053,16031
16071,16031
16067,16031
16077,16031
16013,16031
08045,49047
08103,49047
49009,49047
08081,49047
48191,48101
48155,48101
48075,48101
48197,48101
53039,53059
53041,53059
53077,53059
35059,48205
48111,48205
48341,48205
48421,48205
16047,16053
16063,16053
16067,16053
48375,48011
48129,48011
48065,48011
48179,48011
16039,16047
16063,16047
16025,16047
53039,41021
41049,41021
48221,48425
48251,48425
48111,35059
08071,35059
40025,35059
08009,35059
48471,48339
48291,48339
48407,48339
48065,48375
48341,48375
48129,48191
48075,48191
48087,48191
48221,48363
48503,48363
48367,48363
48237,48363
16025,16039
16015,16039
16013,16039
16037,16039
16045,16075
16087,16075
48291,48071
48245,48071
48251,48221
48367,48221
48023,48155
48197,48155
48487,48155
48023,48503
48009,48503
48237,48503
08027,08055
08071,08055
08101,08055
48009,48023
48487,48023
48485,48023
48293,48217
48251,48217
48349,48217
48139,48217
48471,48313
48289,48313
48225,48313
48289,48293
48161,48293
48349,48293
41049,53039
53077,53039
53005,53039
16071,49005
49033,49005
16041,49005
16007,49005
08103,08045
08097,08045
08037,08045
08107,08045
41059,41049
53005,41049
16067,16063
16025,16063
16013,16063
48065,48129
48087,48129
48179,48129
48483,48129
48407,48471
48455,48471
48225,48471
16087,16045
16015,16045
16003,16045
16085,16045
16077,16071
16041,16071
16005,16071
08043,08027
08101,08027
48197,48075
48087,48075
40057,48075
53027,53041
53067,53041
53077,53041
53053,53041
48341,48065
48179,48065
48233,48065
48393,48065
48341,48111
48421,48111
40025,48111
53067,53027
53045,53027
53031,53027
08097,08015
08043,08015
08065,08015
08093,08015
16087,41001
41061,41001
16003,41001
41063,41001
48407,48291
48245,48291
48199,48291
48373,48291
48233,48341
48421,48341
48195,48341
08101,08071
08089,08071
08009,08071
08011,08071
48367,48251
48139,48251
48439,48251
16013,16067
56041,49033
16041,49033
16007,49033
56023,49033
48487,48197
40057,48197
40065,48197
48237,48367
48439,48367
48497,48367
56023,56041
56037,56041
16013,16025
08081,08103
08107,08103
48161,48289
48225,48289
48001,48289
48373,48407
48455,48407
08065,08097
08037,08097
16003,16087
53045,53067
53053,53067
48237,48009
48487,48009
48485,48009
48077,48009
16085,16015
16037,16015
48497,48237
48077,48237
48337,48237
48485,48487
40065,48487
40141,48487
08101,08043
08093,08043
08119,08043
08041,08043
08081,49009
56037,49009
48199,48245
48361,48245
22023,48245
16013,16077
16005,16077
16011,16077
16005,16041
16007,16041
16029,16041
48179,48087
40057,48087
48483,48087
40009,48087
48349,48161
48001,48161
48213,48161
48483,48179
48393,48179
48211,48179
48421,48233
48393,48233
48195,48233
48139,48349
48213,48349
40065,40057
40055,40057
40009,40057
48439,48139
48113,48139
48213,48139
48257,48139
08037,08065
08093,08065
08117,08065
40025,48421
48195,48421
40139,48421
48497,48439
48113,48439
48121,48439
16011,16013
16023,16013
16037,16013
41061,41059
53005,41059
41063,41059
53071,41059
53013,41059
53053,53045
53031,53045
53035,53045
08009,40025
40139,40025
20129,40025
48373,48199
48361,48199
48457,48199
48241,48199
41063,41061
48077,48485
40141,48485
40033,48485
53053,53077
53005,53077
53033,53077
53037,53077
53025,53077
48455,48373
48457,48373
48005,48373
48225,48455
48005,48455
48001,48225
48005,48225
48073,48225
53035,53053
53033,53053
53037,53053
08089,08101
08025,08101
08041,08101
08073,08101
40141,40065
40055,40065
40075,40065
48337,48497
48121,48497
48097,48497
16011,16005
16029,16005
08117,08037
08107,08037
08049,08037
56023,16007
16029,16007
48337,48077
40033,48077
40067,48077
08107,08081
56037,08081
56007,08081
22023,48361
48241,48361
22019,48361
48351,48361
40033,40141
40075,40141
40031,40141
48393,48483
40009,48483
48211,48483
40129,48483
08119,08093
08117,08093
08019,08093
08059,08093
48195,48393
48211,48393
48357,48393
48295,48393
08025,08089
08011,08089
08061,08089
40009,40055
40075,40055
16085,16003
41063,16003
16049,16003
40139,48195
48357,48195
53071,53005
53021,53005
53025,53005
48121,48113
48257,48113
48397,48113
48085,48113
08041,08119
08035,08119
08059,08119
48213,48001
48073,48001
53035,53031
53009,53031
53029,53031
53055,53031
48005,48457
48241,48457
40067,48337
48097,48337
40085,48337
48097,48121
48085,48121
48181,48121
08019,08117
08049,08117
16029,56023
56037,56023
16019,56023
56035,56023
56039,56023
08011,08009
20129,08009
08099,08009
20187,08009
53033,53035
53029,53035
53061,53035
53055,53009
48257,48213
48073,48213
48467,48213
48423,48213
40075,40009
40129,40009
40149,40009
40039,40009
40067,40033
40031,40033
40137,40033
48397,48257
48467,48257
48231,48257
16037,16085
16059,16085
16049,16085
16029,16011
16023,16011
16019,16011
16051,16011
22019,22023
22053,22023
22113,22023
16019,16029
40129,48211
48295,48211
40045,48211
48241,48005
48073,48005
48347,48005
48405,48005
48351,48241
48405,48241
48403,48241
16037,16023
16051,16023
16059,16023
16033,16023
48357,40139
20129,40139
20189,40139
40007,40139
20175,40139
08041,08025
08061,08025
08073,08025
48295,48357
40007,48357
40031,40075
40149,40075
40015,40075
08035,08041
08039,08041
08073,08041
53037,53033
53061,53033
53007,53033
53013,41063
53003,41063
53023,41063
16069,41063
16049,41063
48085,48397
48231,48397
16059,16037
48347,48073
48423,48073
48401,48073
48351,22019
22011,22019
22053,22019
08099,08011
08061,08011
40085,40067
40137,40067
40019,40067
53025,53037
53007,53037
53017,53037
40085,48097
48181,48097
40137,40031
40015,40031
40051,40031
53021,53071
53013,53071
08049,08107
08057,08107
56007,08107
08059,08019
08049,08019
08047,08019
48423,48467
48379,48467
48231,48467
48499,48467
48231,48085
48181,48085
48147,48085
20189,20129
20187,20129
40039,40129
40045,40129
40043,40129
56035,56037
56007,56037
56013,56037
22011,48351
48403,48351
22115,48351
22085,48351
53013,53021
53025,53021
53001,53021
53075,53021
08059,08035
08039,08035
08005,08035
48405,48347
48401,48347
48419,48347
08047,08059
08031,08059
08013,08059
08014,08059
08005,08059
08001,08059
08047,08049
08057,08049
08013,08049
08069,08049
40015,40149
40039,40149
40007,48295
40045,48295
48181,40085
40019,40085
40095,40085
53055,53029
53061,53029
53057,53029
08013,08047
40019,40137
40051,40137
40049,40137
48403,48405
48419,48405
22053,22011
22003,22011
22115,22011
53023,53013
53075,53013
48401,48423
48499,48423
48183,48423
48459,48423
48231,48379
48499,48379
48223,48379
48147,48231
48223,48231
48119,48231
40095,48181
48147,48181
40013,48181
16051,16019
16065,16019
16081,16019
56039,16019
22113,22053
22003,22053
22001,22053
22039,22053
20187,20189
20175,20189
20067,20189
20081,20189
22045,22113
22001,22113
22055,22113
20187,08099
08061,08099
20075,08099
20071,08099
16065,16051
16033,16051
16043,16051
20067,20187
20075,20187
20093,20187
48419,48401
48183,48401
48365,48401
48203,48401
53057,53055
53073,53055
40095,40019
40099,40019
40049,40019
40069,40019
48419,48403
22085,48403
53023,53003
16069,53003
53075,53003
53007,53061
53057,53061
40039,40015
40051,40015
40011,40015
40017,40015
40043,40039
40011,40039
40045,40007
20175,40007
20119,40007
40059,40007
20025,40007
40043,40045
40153,40045
40059,40045
08005,08031
08001,08031
48223,48499
48459,48499
48159,48499
48063,48499
08069,08057
56007,08057
56001,08057
08014,08013
08069,08013
08123,08013
08073,08061
08017,08061
20071,08061
53001,53025
53017,53025
53043,53025
53047,53025
08073,08039
08005,08039
22055,22045
22101,22045
22099,22045
22007,22045
22047,22045
53075,53023
56039,56035
56013,56035
40013,40095
40069,40095
48365,48419
22085,48419
22031,48419
08001,08014
08123,08014
08005,08073
08017,08073
08063,08073
08121,08073
20081,20175
20119,20175
22115,22003
22039,22003
22079,22003
22055,22001
22039,22001
22097,22001
20075,20067
20081,20067
20093,20067
20055,20067
40049,40051
40087,40051
40017,40051
48459,48183
48203,48183
16081,16065
16043,16065
48119,48147
40013,48147
48277,48147
48119,48223
48159,48223
53075,53001
53043,53001
16033,16059
16049,16059
30001,16059
30081,16059
53057,53007
53017,53007
53047,53007
08001,08005
08121,08005
22085,22115
22079,22115
22069,22115
40153,40043
40011,40043
40093,40043
20093,20075
20071,20075
20203,20075
40049,40099
40069,40099
40123,40099
48203,48365
22031,48365
22017,48365
48063,48459
48203,48459
48343,48459
48315,48459
40087,40049
40123,40049
16061,16069
16049,16069
53075,16069
16057,16069
16035,16069
48159,48119
48277,48119
48387,48119
16043,16033
30001,16033
22031,22085
22069,22085
16049,16061
16035,16061
22099,22055
22097,22055
22109,22101
22099,22101
22007,22101
16043,16081
56039,16081
40069,40013
48277,40013
40005,40013
40023,40013
16035,16049
30081,16049
30063,16049
53073,53057
53047,53057
40123,40069
40005,40069
40029,40069
08123,08001
08087,08001
08121,08001
20119,20081
20093,20081
20069,20081
20055,20081
48063,48159
48449,48159
48387,48159
48449,48063
48343,48063
40017,40087
40027,40087
40123,40087
40125,40087
53047,53017
40059,40153
40093,40153
40151,40153
20025,20119
20069,20119
20057,20119
08123,08069
56001,08069
56021,08069
22097,22039
22079,22039
22009,22039
20071,08017
08063,08017
20199,08017
16057,53075
53043,53075
16009,53075
53063,53075
48315,48203
22017,48203
20025,40059
40151,40059
20033,40059
40017,40011
40093,40011
40073,40011
20055,20093
20203,20093
20171,20093
40027,40017
40073,40017
40109,40017
40083,40017
22069,22031
22017,22031
22081,22031
22007,22109
22057,22109
40023,48277
48387,48277
22097,22099
22007,22099
22047,22099
22077,22099
56013,56007
56001,56007
56025,56007
56009,56007
48343,48449
48387,48449
30001,16043
56039,16043
30057,16043
30031,16043
20203,20071
20199,20071
40109,40027
40125,40027
22077,22097
22009,22097
40029,40123
40125,40123
40133,40123
40063,40123
53047,53073
48315,48343
48387,48343
48067,48343
48037,48343
22017,48315
48067,48315
16035,16057
16009,16057
16079,16057
22069,22079
22043,22079
22009,22079
22081,22069
22043,22069
22127,22069
22013,22069
20033,20025
20057,20025
20097,20025
53047,53043
53063,53043
53019,53043
53065,53043
40073,40093
40151,40093
40003,40093
40047,40093
20055,20069
20057,20069
20083,20069
30081,30001
30057,30001
30023,30001
30093,30001
40029,40005
40023,40005
40127,40005
40121,40005
40063,40029
40121,40029
22047,22007
22057,22007
22093,22007
22005,22007
22081,22017
48067,22017
22015,22017
05091,22017
22015,22081
22013,22081
48387,40023
40127,40023
40089,40023
40109,40073
40083,40073
40047,40073
20199,08063
08121,08063
20181,08063
08125,08063
20023,08063
48037,48387
40089,48387
40125,40109
40083,40109
40081,40109
22077,22047
22121,22047
22005,22047
22033,22047
20171,20055
20101,20055
20083,20055
20135,20055
56013,56039
56029,56039
30031,56039
40133,40125
40081,40125
40107,40125
20199,20203
20171,20203
20109,20203
48037,48067
05091,48067
20033,40151
40003,40151
20007,40151
08087,08123
56021,08123
08075,08123
31105,08123
56017,56013
56029,56013
56025,56013
56043,56013
22093,22057
22051,22057
22089,22057
22095,22057
08121,08087
08075,08087
22127,22043
20109,20199
20181,20199
22009,22077
22121,22077
22125,22077
22029,22077
22125,22009
22025,22009
22029,22009
16079,16035
30061,16035
30063,16035
22033,22121
22125,22121
22037,22121
20097,20033
20007,20033
40063,40133
40107,40133
08125,08121
08075,08121
20097,20057
20083,20057
20047,20057
22005,22093
22095,22093
22013,22015
22119,22015
05091,22015
05073,22015
40047,40083
40081,40083
40119,40083
40103,40083
30023,30081
30039,30081
30063,30081
53063,16009
16055,16009
16079,16009
20109,20171
20101,20171
20063,20171
22033,22005
22095,22005
22063,22005
05091,48037
40089,48037
05081,48037
56021,56001
56031,56001
56009,56001
53019,53047
16055,53063
53065,53063
53051,53063
16017,53063
40121,40063
40107,40063
40091,40063
22013,22127
22049,22127
22021,22127
40121,40127
40089,40127
40077,40127
40079,40127
22119,22013
22049,22013
22027,22013
22061,22013
40047,40003
20007,40003
40053,40003
20077,40003
22063,22033
22037,22033
22091,22033
22089,22051
22095,22051
22075,22051
22071,22051
22105,22051
22103,22051
22037,22125
28157,22125
22029,22125
40053,40047
40103,40047
40071,40047
40107,40081
40119,40081
40037,40081
22095,22089
22105,22089
05073,22119
22027,22119
05027,22119
20007,20097
20047,20097
20151,20097
20181,20109
20063,20109
20193,20109
22063,22095
22105,22095
05081,05091
05073,05091
05057,05091
20135,20101
20063,20101
20023,20181
20193,20181
20153,20181
20047,20083
20135,20083
20145,20083
30093,30057
30031,30057
30043,30057
20151,20007
20077,20007
20095,20007
31105,56021
56031,56021
31007,56021
56015,56021
40077,40121
40091,40121
40061,40121
05081,40089
05133,40089
05113,40089
40079,40089
22091,22063
22105,22063
05133,05081
05057,05081
05061,05081
40037,40107
40091,40107
40111,40107
28157,22037
22091,22037
28005,22037
53065,53019
05027,05073
05057,05073
05099,05073
16079,16055
16017,16055
22061,22049
22021,22049
22073,22049
20023,08125
08075,08125
08095,08125
31057,08125
31029,08125
22029,28157
28001,28157
28005,28157
28037,28157
30061,16079
16017,16079
30089,16079
22029,22025
22021,22025
22041,22025
22107,22025
40103,40119
40037,40119
40117,40119
28001,22029
22107,22029
30093,30023
30039,30023
30043,30023
30077,30023
20151,20047
20145,20047
20185,20047
30043,30093
56029,56017
56043,56017
20077,40053
40071,40053
20191,40053
40117,40103
40071,40103
40113,40103
22061,22027
05027,22027
22111,22027
05139,22027
